Sex Age      L        M        S        P3       P5       P10      P25      P50      P75      P90      P95      P97
1    60.5    -1.00045  18.4859  0.12987  14.8569  15.2320  15.8481  16.9969  18.4859  20.2608  22.1774  23.5083  24.4616
1    61.5    -1.00539  18.6734  0.13069  14.9907  15.3708  15.9954  17.1610  18.6734  20.4792  22.4327  23.7913  24.7657
1    62.5    -1.01057  18.8617  0.13151  15.1251  15.5102  16.1433  17.3256  18.8617  20.6987  22.6894  24.0763  25.0721
1    63.5    -1.01606  19.0507  0.13231  15.2601  15.6502  16.2917  17.4908  19.0507  20.9190  22.9475  24.3631  25.3808
1    64.5    -1.02193  19.2403  0.13311  15.3957  15.7907  16.4407  17.6566  19.2403  21.1403  23.2071  24.6519  25.6918
1    65.5    -1.02824  19.4305  0.13389  15.5319  15.9318  16.5902  17.8229  19.4305  21.3624  23.4680  24.9425  26.0052
1    66.5    -1.03504  19.6213  0.13467  15.6687  16.0735  16.7403  17.9897  19.6213  21.5853  23.7302  25.2351  26.3211
1    67.5    -1.04237  19.8127  0.13544  15.8061  16.2158  16.8909  18.1570  19.8127  21.8090  23.9939  25.5296  26.6394
1    68.5    -1.05025  20.0045  0.13620  15.9442  16.3587  17.0421  18.3248  20.0045  22.0336  24.2588  25.8261  26.9603
1    69.5    -1.05870  20.1970  0.13695  16.0830  16.5023  17.1939  18.4932  20.1970  22.2589  24.5252  26.1246  27.2838
1    70.5    -1.06773  20.3900  0.13769  16.2225  16.6465  17.3462  18.6621  20.3900  22.4850  24.7930  26.4252  27.6101
1    71.5    -1.07732  20.5835  0.13842  16.3627  16.7914  17.4992  18.8315  20.5835  22.7119  25.0622  26.7280  27.9391
1    72.5    -1.08747  20.7776  0.13914  16.5037  16.9370  17.6528  19.0014  20.7776  22.9397  25.3330  27.0330  28.2711
1    73.5    -1.09815  20.9724  0.13985  16.6453  17.0833  17.8070  19.1719  20.9724  23.1684  25.6052  27.3403  28.6061
1    74.5    -1.10933  21.1677  0.14055  16.7878  17.2303  17.9619  19.3431  21.1677  23.3980  25.8791  27.6500  28.9443
1    75.5    -1.12097  21.3638  0.14125  16.9310  17.3780  18.1175  19.5148  21.3638  23.6285  26.1547  27.9622  29.2857
1    76.5    -1.13302  21.5605  0.14194  17.0750  17.5265  18.2737  19.6872  21.5605  23.8601  26.4321  28.2770  29.6305
1    77.5    -1.14543  21.7581  0.14263  17.2198  17.6757  18.4307  19.8603  21.7581  24.0928  26.7112  28.5945  29.9788
1    78.5    -1.15813  21.9564  0.14330  17.3654  17.8257  18.5884  20.0341  21.9564  24.3266  26.9923  28.9148  30.3308
1    79.5    -1.17106  22.1556  0.14398  17.5117  17.9764  18.7469  20.2087  22.1556  24.5617  27.2755  29.2380  30.6865
1    80.5    -1.18414  22.3558  0.14465  17.6589  18.1280  18.9061  20.3840  22.3558  24.7981  27.5608  29.5642  31.0461
1    81.5    -1.19730  22.5570  0.14532  17.8068  18.2803  19.0662  20.5603  22.5570  25.0359  27.8483  29.8936  31.4097
1    82.5    -1.21047  22.7592  0.14599  17.9556  18.4334  19.2271  20.7374  22.7592  25.2753  28.1381  30.2262  31.7775
1    83.5    -1.22356  22.9627  0.14666  18.1050  18.5873  19.3888  20.9155  22.9627  25.5162  28.4304  30.5622  32.1495
1    84.5    -1.23649  23.1674  0.14733  18.2553  18.7421  19.5513  21.0945  23.1674  25.7589  28.7253  30.9017  32.5259
1    85.5    -1.24918  23.3734  0.14801  18.4063  18.8976  19.7147  21.2747  23.3734  26.0034  29.0229  31.2448  32.9068
1    86.5    -1.26155  23.5808  0.14869  18.5581  19.0539  19.8791  21.4559  23.5808  26.2498  29.3233  31.5917  33.2923
1    87.5    -1.27352  23.7897  0.14937  18.7106  19.2110  20.0443  21.6382  23.7897  26.4983  29.6267  31.9424  33.6825
1    88.5    -1.28501  24.0003  0.15006  18.8638  19.3689  20.2105  21.8218  24.0003  26.7490  29.9331  32.2970  34.0775
1    89.5    -1.29595  24.2125  0.15076  19.0177  19.5277  20.3777  22.0066  24.2125  27.0020  30.2428  32.6558  34.4774
1    90.5    -1.30626  24.4264  0.15147  19.1724  19.6872  20.5458  22.1927  24.4264  27.2574  30.5557  33.0187  34.8822
1    91.5    -1.31589  24.6423  0.15219  19.3277  19.8476  20.7149  22.3802  24.6423  27.5153  30.8721  33.3859  35.2921
1    92.5    -1.32477  24.8600  0.15292  19.4837  20.0087  20.8851  22.5691  24.8600  27.7759  31.1921  33.7574  35.7071
1    93.5    -1.33285  25.0799  0.15366  19.6404  20.1707  21.0562  22.7595  25.0799  28.0392  31.5158  34.1335  36.1273
1    94.5    -1.34008  25.3018  0.15441  19.7978  20.3335  21.2285  22.9514  25.3018  28.3055  31.8433  34.5141  36.5527
1    95.5    -1.34641  25.5260  0.15518  19.9559  20.4972  21.4018  23.1449  25.5260  28.5747  32.1747  34.8995  36.9833
1    96.5    -1.35181  25.7525  0.15597  20.1146  20.6616  21.5763  23.3400  25.7525  28.8471  32.5102  35.2895  37.4193
1    97.5    -1.35625  25.9814  0.15677  20.2740  20.8270  21.7519  23.5368  25.9814  29.1228  32.8498  35.6844  37.8606
1    98.5    -1.35971  26.2128  0.15759  20.4341  20.9932  21.9287  23.7354  26.2128  29.4017  33.1937  36.0841  38.3073
1    99.5    -1.36216  26.4467  0.15842  20.5949  21.1603  22.1067  23.9357  26.4467  29.6842  33.5420  36.4889  38.7593
1   100.5    -1.36361  26.6833  0.15927  20.7564  21.3283  22.2860  24.1380  26.6833  29.9702  33.8947  36.8986  39.2166
1   101.5    -1.36404  26.9227  0.16014  20.9186  21.4972  22.4665  24.3421  26.9227  30.2598  34.2519  37.3133  39.6794
1   102.5    -1.36345  27.1648  0.16102  21.0816  21.6671  22.6483  24.5482  27.1648  30.5532  34.6138  37.7332  40.1474
1   103.5    -1.36186  27.4099  0.16192  21.2453  21.8380  22.8315  24.7564  27.4099  30.8505  34.9804  38.1582  40.6208
1   104.5    -1.35928  27.6579  0.16284  21.4099  22.0099  23.0161  24.9667  27.6579  31.1516  35.3517  38.5884  41.0995
1   105.5    -1.35572  27.9090  0.16377  21.5753  22.1829  23.2022  25.1791  27.9090  31.4568  35.7279  39.0237  41.5834
1   106.5    -1.35120  28.1632  0.16472  21.7415  22.3570  23.3897  25.3937  28.1632  31.7661  36.1089  39.4642  42.0724
1   107.5    -1.34575  28.4206  0.16568  21.9087  22.5323  23.5788  25.6106  28.4206  32.0796  36.4949  39.9098  42.5666
1   108.5    -1.33940  28.6813  0.16665  22.0768  22.7087  23.7695  25.8299  28.6813  32.3973  36.8859  40.3606  43.0658
1   109.5    -1.33218  28.9453  0.16764  22.2459  22.8864  23.9619  26.0516  28.9453  32.7193  37.2819  40.8166  43.5700
1   110.5    -1.32413  29.2127  0.16864  22.4162  23.0655  24.1560  26.2757  29.2127  33.0456  37.6829  41.2777  44.0791
1   111.5    -1.31529  29.4835  0.16965  22.5875  23.2459  24.3518  26.5024  29.4835  33.3764  38.0889  41.7438  44.5930
1   112.5    -1.30568  29.7580  0.17067  22.7600  23.4277  24.5496  26.7317  29.7580  33.7116  38.5000  42.2150  45.1116
1   113.5    -1.29536  30.0360  0.17169  22.9338  23.6111  24.7492  26.9637  30.0360  34.0514  38.9162  42.6912  45.6348
1   114.5    -1.28437  30.3177  0.17272  23.1090  23.7961  24.9509  27.1985  30.3177  34.3957  39.3374  43.1723  46.1625
1   115.5    -1.27275  30.6031  0.17376  23.2855  23.9827  25.1547  27.4360  30.6031  34.7445  39.7636  43.6582  46.6945
1   116.5    -1.26053  30.8923  0.17479  23.4636  24.1711  25.3606  27.6765  30.8923  35.0980  40.1948  44.1489  47.2307
1   117.5    -1.24778  31.1853  0.17583  23.6432  24.3613  25.5687  27.9200  31.1853  35.4561  40.6310  44.6443  47.7710
1   118.5    -1.23452  31.4822  0.17687  23.8246  24.5535  25.7792  28.1665  31.4822  35.8189  41.0721  45.1442  48.3153
1   119.5    -1.22081  31.7831  0.17790  24.0076  24.7476  25.9920  28.4161  31.7831  36.1863  41.5181  45.6487  48.8634
1   120.5    -1.20668  32.0879  0.17892  24.1926  24.9439  26.2074  28.6689  32.0879  36.5585  41.9689  46.1575  49.4151
1   121.5    -1.19219  32.3969  0.17994  24.3795  25.1423  26.4254  28.9250  32.3969  36.9352  42.4245  46.6706  49.9703
1   122.5    -1.17736  32.7099  0.18095  24.5685  25.3431  26.6460  29.1844  32.7099  37.3167  42.8847  47.1878  50.5289
1   123.5    -1.16224  33.0270  0.18195  24.7597  25.5463  26.8694  29.4473  33.0270  37.7028  43.3496  47.7090  51.0906
1   124.5    -1.14687  33.3483  0.18293  24.9531  25.7519  27.0957  29.7136  33.3483  38.0936  43.8190  48.2340  51.6553
1   125.5    -1.13129  33.6738  0.18389  25.1489  25.9602  27.3249  29.9835  33.6738  38.4890  44.2929  48.7628  52.2229
1   126.5    -1.11554  34.0036  0.18484  25.3473  26.1712  27.5572  30.2571  34.0036  38.8890  44.7711  49.2952  52.7931
1   127.5    -1.09965  34.3376  0.18577  25.5482  26.3850  27.7927  30.5343  34.3376  39.2936  45.2535  49.8310  53.3658
1   128.5    -1.08365  34.6759  0.18667  25.7519  26.6018  28.0313  30.8154  34.6759  39.7027  45.7400  50.3701  53.9408
1   129.5    -1.06758  35.0186  0.18755  25.9584  26.8216  28.2734  31.1003  35.0186  40.1164  46.2306  50.9123  54.5179
1   130.5    -1.05148  35.3656  0.18841  26.1679  27.0445  28.5189  31.3891  35.3656  40.5344  46.7251  51.4575  55.0970
1   131.5    -1.03536  35.7169  0.18923  26.3805  27.2707  28.7679  31.6818  35.7169  40.9569  47.2233  52.0054  55.6778
1   132.5    -1.01927  36.0726  0.19002  26.5962  27.5003  29.0205  31.9786  36.0726  41.3837  47.7251  52.5560  56.2602
1   133.5    -1.00323  36.4326  0.19079  26.8153  27.7333  29.2768  32.2795  36.4326  41.8148  48.2305  53.1090  56.8441
1   134.5    -0.98726  36.7970  0.19151  27.0377  27.9698  29.5369  32.5845  36.7970  42.2500  48.7392  53.6643  57.4291
1   135.5    -0.97140  37.1657  0.19220  27.2637  28.2101  29.8009  32.8937  37.1657  42.6894  49.2511  54.2217  58.0152
1   136.5    -0.95567  37.5388  0.19286  27.4933  28.4541  30.0688  33.2070  37.5388  43.1328  49.7661  54.7810  58.6021
1   137.5    -0.94008  37.9161  0.19347  27.7267  28.7019  30.3408  33.5247  37.9161  43.5802  50.2839  55.3420  59.1898
